NEW,#genre#
CETV1,http://csbl.centv.cn/live/1581050671.m3u8?auth_key=1591886725-0-0-3df99405cfe80d7b917eb40de3a174d3
CETV2,http://csbl.centv.cn/live/1581050634.m3u8?auth_key=1591886765-0-0-1d7a450d1274c9581b48e61426d07ada
CETV3,http://csbl.centv.cn/live/1581050590.m3u8?auth_key=1591886811-0-0-c56a633cce5dd95d2ae412da918d2ba9
CETV4,http://csbl.centv.cn/live/1581002128.m3u8?auth_key=1591886844-0-0-94488143a9d6c6f2db3ca528cfec436d

新疆卫视1,http://livehyw.chinamcache.com/xjtvs/zb0001.flv?auth_key=1591889023-0-0-bd3abbd674660ab647d82fef5c907965
新疆综艺4,http://livehyw.chinamcache.com/xjtvs/zb0004.flv?auth_key=1591889065-0-0-d37980948e6539b83cc5039d68712167
新疆体育10,http://livehyw.chinamcache.com/xjtvs/zb0010.flv?auth_key=1591889109-0-0-aab662e5be693ef1ba5dc26b9d6db354
新疆信息11,http://livehyw.chinamcache.com/xjtvs/zb0011.flv?auth_key=1591889142-0-0-291fdc11cf5b3c42e04626c683a79a92
宁夏卫视,http://stream.nxtv.com.cn/wspd/sd/live.m3u8?_upt=1fb0d1891592029234
宁夏公共,http://stream.nxtv.com.cn/ggpd/sd/live.m3u8?_upt=c9b5b1101592029276
宁夏经济,http://stream.nxtv.com.cn/jjpd/sd/live.m3u8?_upt=5da5a4811592029312
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=a440f7f71591900279
青海生活,http://stream.qhbtv.com/qhsh/sd/live.m3u8?_upt=a79316371591900319
青海都市,http://stream.qhbtv.com/qhds/sd/live.m3u8?_upt=4edc95b01591900342
甘肃卫视,http://stream.gstv.com.cn/gsws/sd/live.m3u8?_upt=0361ef081591914427
甘肃经济,http://stream.gstv.com.cn/jjpd/sd/live.m3u8?_upt=fc092d711591914463
甘肃影视,http://stream.gstv.com.cn/whys/sd/live.m3u8?_upt=eb401a541591914493
甘肃都市,http://stream.gstv.com.cn/dspd/sd/live.m3u8?_upt=147804961591914530
甘肃公共,http://stream.gstv.com.cn/ggpd/sd/live.m3u8?_upt=0606a9c51591914549
甘肃少儿,http://stream.gstv.com.cn/sepd/sd/live.m3u8?_upt=e38b0c801591914567
甘肃移动,http://stream.gstv.com.cn/ydds/sd/live.m3u8?_upt=64306c3c1591914588
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
内蒙古农牧,http://live4.m2oplus.nmtv.cn/6/sd/live.m3u8
内蒙古新闻综合,http://live4.m2oplus.nmtv.cn/7/sd/live.m3u8
内蒙古文体娱乐,http://live4.m2oplus.nmtv.cn/8/sd/live.m3u8
西藏卫视,http://stream.xzitv.cn/3/sd/live.m3u8?_upt=dc911c8a1591893459




