CCTV,#genre#
CCTV-1,http://39.137.76.32:8089/00/SNM/CHANNEL00000001/index.m3u8
CCTV-2,http://39.137.76.32:8089/00/SNM/CHANNEL00000002/index.m3u8
CCTV-3,http://39.137.76.32:8089/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4,http://39.137.76.32:8089/00/SNM/CHANNEL00000004/index.m3u8
CCTV-5,http://39.137.76.32:8089/00/SNM/CHANNEL30000005/index.m3u8
CCTV-6,http://39.137.76.32:8089/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7,http://39.137.76.32:8089/00/SNM/CHANNEL00000007/index.m3u8
CCTV-8,http://39.137.76.32:8089/00/SNM/CHANNEL00000008/index.m3u8
CCTV-11,http://39.137.76.32:8089/00/SNM/CHANNEL00000011/index.m3u8
CCTV-13,http://39.137.76.32:8089/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14,http://39.137.76.32:8089/00/SNM/CHANNEL00000014/index.m3u8
CCTV-15,http://39.137.76.32:8089/00/SNM/CHANNEL00000015/index.m3u8
  
卫视,#genre#
山东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000301/index.m3u8
东方卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000309/index.m3u8
北京卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000302/index.m3u8
浙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000305/index.m3u8
江苏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000304/index.m3u8
广东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000308/index.m3u8
东南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000310/index.m3u8
黑龙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000306/index.m3u8

湖南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000017/index.m3u8
浙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000016/index.m3u8
江苏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000018/index.m3u8
安徽卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000020/index.m3u8
北京卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000019/index.m3u8
东方卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000022/index.m3u8
深圳卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000024/index.m3u8
天津卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000021/index.m3u8
旅游卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000030/index.m3u8
辽宁卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000026/index.m3u8
黑龙江卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000027/index.m3u8
重庆卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000023/index.m3u8
广东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000025/index.m3u8
广西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000038/index.m3u8
东南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000028/index.m3u8
云南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000039/index.m3u8
河北卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000034/index.m3u8
湖北卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000031/index.m3u8
吉林卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000036/index.m3u8
江西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000035/index.m3u8
山西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000032/index.m3u8
陕西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000029/index.m3u8
四川卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000033/index.m3u8
贵州卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000041/index.m3u8
甘肃卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000046/index.m3u8
宁夏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000043/index.m3u8
青海卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000044/index.m3u8
内蒙古,http://39.137.76.32:8089/00/SNM/CHANNEL00000040/index.m3u8
金鹰卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000047/index.m3u8
卡酷动画,http://39.137.76.32:8089/00/SNM/CHANNEL00000048/index.m3u8
优漫卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000049/index.m3u8
炫动卡通,http://39.137.76.32:8089/00/SNM/CHANNEL00000050/index.m3u8
CCTV-NEWS,http://39.137.76.32:8089/00/SNM/CHANNEL00000009/index.m3u8
山东教育,http://39.137.76.32:8089/00/SNM/CHANNEL10000062/index.m3u8



  
山东,#genre#
泰安高清,http://39.137.76.32:8089/00/SNM/CHANNEL00000269/index.m3u8
泰安公共,http://39.137.76.32:8089/00/SNM/CHANNEL00000270/index.m3u8
齐鲁高清,http://39.137.76.32:8089/00/SNM/CHANNEL00000313/index.m3u8
山东齐鲁,http://39.137.76.32:8089/00/SNM/CHANNEL00000052/index.m3u8
山东卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000051/index.m3u8
山东新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00000053/index.m3u8
山东影视,http://39.137.76.32:8089/00/SNM/CHANNEL00000056/index.m3u8
山东生活,http://39.137.76.32:8089/00/SNM/CHANNEL00000055/index.m3u8
山东综艺,http://39.137.76.32:8089/00/SNM/CHANNEL00000054/index.m3u8
山东体育,http://39.137.76.32:8089/00/SNM/CHANNEL00000057/index.m3u8
山东农科,http://39.137.76.32:8089/00/SNM/CHANNEL00000058/index.m3u8
山东少儿,http://39.137.76.32:8089/00/SNM/CHANNEL00000059/index.m3u8
山东国际,http://39.137.76.32:8089/00/SNM/CHANNEL00000060/index.m3u8

专业频道,#genre#
海看剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000403/index.m3u8
海看大片,http://39.137.76.32:8089/00/SNM/CHANNEL00000407/index.m3u8
古装剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000622/index.m3u8
家庭影院,http://39.137.76.32:8089/00/SNM/CHANNEL00000635/index.m3u8
喜剧影院,http://39.137.76.32:8089/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://39.137.76.32:8089/00/SNM/CHANNEL00000603/index.m3u8
精选电影,http://39.137.76.32:8089/00/SNM/CHANNEL00000621/index.m3u8
