CCTV,#genre#
CCTV-1高清,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8
CCTV-2高清,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000002/index.m3u8
CCTV-3,http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4高清,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000004/index.m3u8
CCTV-5,http://150.138.8.143/00/SNM/CHANNEL00000005/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL30000005/index.m3u8
CCTV-6,http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7高清,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000007/index.m3u8
CCTV-8,http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9高清,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL10000009/index.m3u8
CCTV-10高清,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000010/index.m3u8
CCTV-11,http://150.138.8.143/00/SNM/CHANNEL00000011/index.m3u8
CCTV-12高清,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000012/index.m3u8
CCTV-13,http://150.138.8.143/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14高清,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000014/index.m3u8
CCTV-15,http://150.138.8.143/00/SNM/CHANNEL00000015/index.m3u8
CCTV-5+高清,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
国防军事,sop://127.0.0.1:3912/463
第一剧场,sop://127.0.0.1:3912/464
怀旧剧场,sop://127.0.0.1:3912/465
风云剧场,sop://127.0.0.1:3912/466
风云足球,sop://127.0.0.1:3912/467
风云音乐,sop://127.0.0.1:3912/468
世界地理,sop://127.0.0.1:3912/499
高尔夫网球,sop://127.0.0.1:3912/470
央视台球,sop://127.0.0.1:3912/503
央视精品,sop://127.0.0.1:3912/547

