CCTV,#genre#
天气预报,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CCTV-1 综合,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8
日照 电视台 1,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照 电视台 2,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
山东 卫视 1,http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000051/index.m3u8
CCTV-2 财经,http://150.138.8.143/00/SNM/CHANNEL00000002/index.m3u8
CCTV-3 综艺,http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4 国际,http://150.138.8.143/00/SNM/CHANNEL00000004/index.m3u8
CCTV-5 体育,http://150.138.8.143/00/SNM/CHANNEL00000005/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL30000005/index.m3u8
CCTV-5+体育,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6 电影,http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7 军事,http://150.138.8.143/00/SNM/CHANNEL00000007/index.m3u8
CCTV-8 电视剧,http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9 纪录,http://150.138.8.143/00/SNM/CHANNEL10000009/index.m3u8
CCTV-10 科教,http://150.138.8.143/00/SNM/CHANNEL00000010/index.m3u8
CCTV-11 戏曲,http://150.138.8.143/00/SNM/CHANNEL00000011/index.m3u8
CCTV-12 社会与法,http://150.138.8.143/00/SNM/CHANNEL00000012/index.m3u8
CCTV-13 新闻,http://150.138.8.143/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14 少儿,http://150.138.8.143/00/SNM/CHANNEL00000014/index.m3u8
CCTV-15 音乐,http://150.138.8.143/00/SNM/CHANNEL00000015/index.m3u8
IPTV相声小品,http://150.138.8.143/00/SNM/CHANNEL00000606/index.m3u8
IPTV魅力时尚,http://150.138.8.143/00/SNM/CHANNEL00000609/index.m3u8
喜剧影院,http://150.138.8.143/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://150.138.8.143/00/SNM/CHANNEL00000603/index.m3u8
IPTV经典电影,http://150.138.8.143/00/SNM/CHANNEL00000604/index.m3u8
IPTV热播剧场,http://150.138.8.143/00/SNM/CHANNEL00000608/index.m3u8
墨宝,http://150.138.8.143/00/SNM/CHANNEL00000610/index.m3u8
光影,http://150.138.8.143/00/SNM/CHANNEL00000611/index.m3u8
美人,http://150.138.8.143/00/SNM/CHANNEL00000612/index.m3u8
环球旅游,http://150.138.8.143/00/SNM/CHANNEL00000643/index.m3u8
财富天下,http://150.138.8.143/00/SNM/CHANNEL00000607/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000640/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8
车迷频道,http://150.138.8.143/00/SNM/CHANNEL00000645/index.m3u8
IPTV少儿动画,http://150.138.8.143/00/SNM/CHANNEL00000605/index.m3u8

卫视,#genre#
中国交通,http://150.138.8.143:80/00/SNM/CHANNEL00000073/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000022/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000020/index.m3u8
