咪咕爱看,#genre#

CCTV1[785*576],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228702/index.m3u8
CCTV1[785*576],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228843/index.m3u8
CCTV1_720,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228104/index.m3u8
CCTV1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228098/index.m3u8
CCTV2_720,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229095/index.m3u8
CCTV3_720,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229098/index.m3u8
CCTV5_1080,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228849/index.m3u8
CCTV5+[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228810/index.m3u8
CCTV14,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229157/index.m3u8

湖南卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228984/index.m3u8
江苏卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228032/index.m3u8
浙江卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229352/index.m3u8
天目新闻,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229590/index.m3u8
杭州2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
杭州3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
杭州5,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8
贵州卫视480P,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228123/index.m3u8
CCTV2[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228129/index.m3u8
111[853*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228143/index.m3u8
153号[640*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228152/index.m3u8
best体育[1024*576],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228203/index.m3u8
黑龙江[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228374/index.m3u8
黑龙江[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228398/index.m3u8
河南[859*480],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228468/index.m3u8
820号[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228819/index.m3u8
湖南[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228852/index.m3u8
天津[1280*720],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228905/index.m3u8
