CCTV,#genre#
CCTV-1综合,http://112.50.243.8/PLTV/88888888/224/3221226908/1.m3u8
CCTV-2财经,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-3综艺,http://101.71.255.229:6610/zjhs/2/10069/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4国际,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV-5体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+体育赛事,http://112.50.243.8/PLTV/88888888/224/3221225939/1.m3u8
CCTV-6电影,http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=093&Provider_id=&Pcontent_id=index.m3u8
CCTV-7国防军事,http://112.50.243.8/PLTV/88888888/224/3221226998/1.m3u8
CCTV-8电视剧,http://101.71.255.229:6610/zjhs/2/10062/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-9纪录,http://112.50.243.8/PLTV/88888888/224/3221225929/1.m3u8
CCTV-10科教,http://112.50.243.8/PLTV/88888888/224/3221225814/1.m3u8
CCTV-11戏曲,http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8
CCTV-12社会与法,http://112.50.243.8/PLTV/88888888/224/3221225932/1.m3u8
CCTV-13新闻,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14少儿,http://112.50.243.8/PLTV/88888888/224/3221225933/1.m3u8
CCTV-15音乐,http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV-17农业农村,http://112.50.243.8/PLTV/88888888/224/3221226986/1.m3u8
CETV-1,http://112.50.243.8/PLTV/88888888/224/3221226954/1.m3u8
CGTN,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2001656803.m3u8
CCTV4K版,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2000266303.m3u8

卫视,#genre#
湖南卫视,http://112.50.243.8/PLTV/88888888/224/3221225935/1.m3u8
江苏卫视,http://112.50.243.8/PLTV/88888888/224/3221226869/1.m3u8
浙江卫视,http://112.50.243.8/PLTV/88888888/224/3221225934/1.m3u8
东方卫视,http://112.50.243.8/PLTV/88888888/224/3221225936/1.m3u8
四川卫视,http://112.50.243.8/PLTV/88888888/224/3221227006/1.m3u8
北京卫视,http://112.50.243.8/PLTV/88888888/224/3221225937/1.m3u8
广东卫视,http://112.50.243.8/PLTV/88888888/224/3221226946/1.m3u8
深圳卫视,http://112.50.243.8/PLTV/88888888/224/3221225938/1.m3u8
山东卫视,http://112.50.243.8/PLTV/88888888/224/3221225943/1.m3u8
天津卫视,http://112.50.243.8/PLTV/88888888/224/3221225941/1.m3u8
东南卫视,http://112.50.243.8/PLTV/88888888/224/3221226877/1.m3u8
黑龙江卫视,http://112.50.243.8/PLTV/88888888/224/3221225940/1.m3u8
湖北卫视,http://112.50.243.8/PLTV/88888888/224/3221225948/1.m3u8
江西卫视,http://112.50.243.8/PLTV/88888888/224/3221227022/1.m3u8
辽宁卫视,http://112.50.243.8/PLTV/88888888/224/3221226881/1.m3u8
重庆卫视,http://112.50.243.8/PLTV/88888888/224/3221225949/1.m3u8
安徽卫视,http://112.50.243.8/PLTV/88888888/224/3221226942/1.m3u8
河北卫视,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
河南卫视,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
贵州卫视,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
广西卫视,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
厦门卫视,http://112.50.243.8/PLTV/88888888/224/3221226781/1.m3u8
吉林卫视HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
山西卫视HD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8
陕西卫视HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=049&Provider_id=&Pcontent_id=index.m3u8
云南卫视HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=013&Provider_id=&Pcontent_id=index.m3u8
甘肃卫视HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
